,,,,,,,,,,,,,,Category,Name,Object
Object,Activity_log__c,,,,,,,,,,,,,Object,Activity_log__c,Activity_log__c
Object,Approval_History__c,,,,,,,,,,,,,Object,Approval_History__c,Approval_History__c
Object,Call_Log__c,,,,,,,,,,,,,Object,Call_Log__c,Call_Log__c
Object,Claender__c,,,,,,,,,,,,,Object,Claender__c,Claender__c
Object,Course_Bucket__c,,,,,,,,,,,,,Object,Course_Bucket__c,Course_Bucket__c
Object,Course_Enrolled__c,,,,,,,,,,,,,Object,Course_Enrolled__c,Course_Enrolled__c
Object,Courses__c,,,,,,,,,,,,,Object,Courses__c,Courses__c
Object,Eligibility_Credit_Scoring__c,,,,,,,,,,,,,Object,Eligibility_Credit_Scoring__c,Eligibility_Credit_Scoring__c
Object,Eligibility_File__c,,,,,,,,,,,,,Object,Eligibility_File__c,Eligibility_File__c
Object,Eligibility_Folder__c,,,,,,,,,,,,,Object,Eligibility_Folder__c,Eligibility_Folder__c
Object,Eligibility_Folder_Template__c,,,,,,,,,,,,,Object,Eligibility_Folder_Template__c,Eligibility_Folder_Template__c
Object,Eligibility_History__c,,,,,,,,,,,,,Object,Eligibility_History__c,Eligibility_History__c
Object,Email__c,,,,,,,,,,,,,Object,Email__c,Email__c
Object,Enquiry__c,,,,,,,,,,,,,Object,Enquiry__c,Enquiry__c
Object,Event,,,,,,,,,,,,,Object,Event,Event
Object,Integration_Log__c,,,,,,,,,,,,,Object,Integration_Log__c,Integration_Log__c
Object,Lead,,,,,,,,,,,,,Object,Lead,Lead
Object,Lead__c,,,,,,,,,,,,,Object,Lead__c,Lead__c
Object,LevelManagment__c,,,,,,,,,,,,,Object,LevelManagment__c,LevelManagment__c
Object,Loan__c,,,,,,,,,,,,,Object,Loan__c,Loan__c
Object,Monitor_Event__e,,,,,,,,,,,,,Object,Monitor_Event__e,Monitor_Event__e
Object,Phone_Number__c,,,,,,,,,,,,,Object,Phone_Number__c,Phone_Number__c
Object,Product_Option__c,,,,,,,,,,,,,Object,Product_Option__c,Product_Option__c
Object,Purchase_Order__c,,,,,,,,,,,,,Object,Purchase_Order__c,Purchase_Order__c
Object,Purchase_Order_Line_Item__c,,,,,,,,,,,,,Object,Purchase_Order_Line_Item__c,Purchase_Order_Line_Item__c
Object,Queue_Lead_Status__e,,,,,,,,,,,,,Object,Queue_Lead_Status__e,Queue_Lead_Status__e
Object,Queue_Priority_Matrix__c,,,,,,,,,,,,,Object,Queue_Priority_Matrix__c,Queue_Priority_Matrix__c
Object,Round_Robin_Pool__c,,,,,,,,,,,,,Object,Round_Robin_Pool__c,Round_Robin_Pool__c
Object,Round_Robin_Runtime__c,,,,,,,,,,,,,Object,Round_Robin_Runtime__c,Round_Robin_Runtime__c
Object,Runo_Call_Completed__e,,,,,,,,,,,,,Object,Runo_Call_Completed__e,Runo_Call_Completed__e
Object,Source_Bucket__c,,,,,,,,,,,,,Object,Source_Bucket__c,Source_Bucket__c
Object,Student_File_Status__c,,,,,,,,,,,,,Object,Student_File_Status__c,Student_File_Status__c
Object,Task_Manager__c,,,,,,,,,,,,,Object,Task_Manager__c,Task_Manager__c
Object,Transcation__c,,,,,,,,,,,,,Object,Transcation__c,Transcation__c
Object,Webinar__c,,,,,,,,,,,,,Object,Webinar__c,Webinar__c
Object,Webinar_Member__c,,,,,,,,,,,,,Object,Webinar_Member__c,Webinar_Member__c
